Currency,Date,Close,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-06-24T23:01:00.463Z,6142.39257,6198.040366,6257.116743,5796.492519
BTC,2018-06-25T23:01:00.419Z,6244.328455,6146.279887,6321.135782,6090.149999
BTC,2018-06-26T23:03:59.951Z,6148.422705,6237.509614,6267.872,6101.731205
BTC,2018-06-27T23:00:00.156Z,6140.1915,6153.025474,6160.893065,6004.181118
BTC,2018-06-28T23:00:00.225Z,5954.526582,6143.851708,6185.04441,5913.012632
BTC,2018-06-29T23:00:00.096Z,6189.309252,5952.988658,6226.676707,5809.869959
BTC,2018-06-30T23:00:00.070Z,6343.8922,6185.103664,6449.892081,6137.955883
BTC,2018-07-01T22:59:59.820Z,6373.277854,6393.223356,6445.831244,6258.346633
BTC,2018-07-02T23:00:00.941Z,6629.749595,6373.184975,6682.757452,6269.923682
BTC,2018-07-03T23:00:00.235Z,6482.830594,6614.419253,6678.19556,6471.690858
BTC,2018-07-04T22:59:59.541Z,6589.632793,6511.020037,6788.307492,6415.496256
BTC,2018-07-05T23:00:00.629Z,6538.682432,6590.003356,6699.790032,6460.276241
BTC,2018-07-07T22:59:59.364Z,6570.427592,6580.314622,6621.102558,6501.459277
BTC,2018-07-08T22:59:59.700Z,6744.988679,6570.427115,6800.015281,6570.405832
BTC,2018-07-09T22:59:59.392Z,6694.530851,6744.988679,6798.959786,6667.489981
BTC,2018-07-10T23:00:00.191Z,6364.38759,6694.530851,6701.549171,6326.492899
BTC,2018-07-11T22:59:59.718Z,6360.446668,6296.981692,6400.579589,6271.592929
BTC,2018-07-12T23:00:00.821Z,6144.810118,6374.974582,6375.068356,6126.029743
BTC,2018-07-14T22:59:59.633Z,6254.678129,6254.799008,6323.038256,6182.083723
BTC,2018-07-15T23:00:00.264Z,6366.349904,6254.678129,6398.468153,6230.848947
BTC,2018-07-16T22:59:59.570Z,6671.625919,6356.108875,6709.159824,6335.123157
BTC,2018-07-17T23:00:00.518Z,7315.55104,6727.456337,7379.234744,6658.408659
BTC,2018-07-18T23:00:00.074Z,7359.737018,7316.147712,7581.570739,7245.303111
BTC,2018-07-19T22:59:59.390Z,7484.63967,7359.737036,7557.513087,7282.772794
BTC,2018-07-20T23:00:00.239Z,7357.445677,7484.639663,7697.005345,7281.406498
BTC,2018-07-21T23:00:00.155Z,7424.734238,7337.282091,7456.464384,7215.327022
BTC,2018-07-22T23:00:00.021Z,7411.200525,7424.503503,7571.740451,7341.523165
BTC,2018-07-23T23:00:00.112Z,7730.24748,7400.464661,7805.491249,7374.251359
BTC,2018-07-24T23:00:00.709Z,8325.801534,7730.248177,8359.319474,7695.982837
BTC,2018-07-25T23:00:00.584Z,8271.59792,8320.159947,8486.01168,8056.018565
BTC,2018-07-26T23:00:00.173Z,7925.247396,8269.532335,8313.126681,7914.600936
BTC,2018-07-27T23:00:00.963Z,8254.277348,7933.125251,8277.703662,7801.009443
BTC,2018-07-28T22:59:59.507Z,8184.695535,8182.375003,8233.482102,8063.326116
BTC,2018-07-29T23:00:00.230Z,8201.89009,8184.696086,8292.515658,8119.71331
BTC,2018-07-30T22:59:59.677Z,8166.38836,8215.215969,8274.533757,7862.074283
BTC,2018-07-31T23:00:00.541Z,7700.834129,8166.688399,8198.484617,7666.290884
BTC,2018-08-01T23:00:00.095Z,7588.58618,7732.347291,7751.87765,7440.241506
BTC,2018-08-02T23:00:00.182Z,7547.314951,7589.374917,7698.487139,7460.295
BTC,2018-08-03T22:59:59.699Z,7423.074378,7527.040399,7533.667263,7271.202487
BTC,2018-08-04T23:00:00.160Z,7396.041122,7423.075093,7501.316029,7359.236813
BTC,2018-08-05T23:00:00.090Z,7411.515299,7395.622456,7413.130811,7386.062077
BTC,2018-08-06T22:59:59.932Z,7402.336634,7411.5153,7417.408688,7401.375071
BTC,2018-08-07T23:00:00.307Z,6748.441484,7402.336631,7412.287461,6678.28556
BTC,2018-08-08T23:00:00.794Z,6460.153155,6721.43509,6750.408312,6396.088336
BTC,2018-08-09T23:00:00.465Z,6482.973449,6460.153697,6483.498065,6455.990701
BTC,2018-08-10T23:00:00.654Z,6092.533104,6482.968724,6494.016385,6008.854855
BTC,2018-08-11T23:00:00.161Z,6391.599258,6101.856478,6473.271658,5982.215632
